timestamp,x,y,z
,0,0,17
2994340,0.2656128,9.667349,17.0885376
,0.24646953,9.688885,17.02632199
,0.23211208,9.624276,17.05264398
,0.2057901,9.619491,17.07657306
,0.17468229,9.432844,17.15553902
,0.17228939,9.7415285,16.94974893
,0.13878867,9.715207,16.97607092
,0.11485959,9.614705,17.1196454
2994378,0.09571633,9.60274,17.04546525
,0.05025107,9.576418,16.97846383
,0.13160995,9.7176,16.97367801
,0.1196454,9.669742,17.06460852
,0.1196454,9.595561,17.06221561
,0.12443122,9.650599,17.04067944
,0.14118157,9.667349,17.04785816
,0.14357449,9.60274,17.13639577
2994416,0.21296883,9.648206,17.07657306
,0.19143265,9.609919,17.06939434
,0.2392908,9.643419,17.06221561
,0.21775463,9.626669,17.12203831
,0.24407662,9.66017,17.07896597
,0.22732627,9.650599,17.13639577
,0.28236315,9.595561,17.04307235
,0.24168372,9.605133,17.04546525
2994455,0.27997026,9.621883,17.07418015
,0.17228939,9.607526,17.03350071
,0.16511066,9.614705,17.03350071
,0.17707519,9.58599,17.11007378
,0.15075321,9.578811,17.09093051
,0.17946811,9.629062,17.13878867
,0.18425392,9.638634,17.1483603
,0.21536173,9.490273,17.2057901
2994494,0.21296883,9.5500965,17.05025107
,0.17707519,9.763065,16.84685388
,0.15075321,9.760673,16.92581985
,0.15793194,9.672134,17.08375178
,0.22254045,9.679314,17.05025107
,0.21536173,9.672134,17.16511066
,0.25364825,9.621883,17.1483603
,0.28475606,9.5907755,17.03110781
2994532,0.22971918,9.588383,16.95214184
,0.19621846,9.595561,16.97367801
,0.14118157,9.6410265,16.92581985
,0.12443122,9.703242,16.88753332
,0.11246668,9.777423,17.03110781
,0.18664683,9.758279,17.05742979
,0.16032484,9.751101,17.06460852
,0.16750357,9.729565,16.98803546
2994571,0.15553902,9.684099,17.03110781
,0.1483603,9.638634,17.00717872
,0.14357449,9.56924,16.98803546
,0.107680865,9.581204,16.94496311
,0.1172525,9.554882,16.92821275
,0.15314612,9.5500965,16.90428367
,0.18186101,9.559668,16.99521418
,0.2057901,9.521381,17.00239291
2994609,0.19861138,9.581204,17.03350071
,0.21057591,9.56924,17.0287149
,0.234505,9.614705,17.02392908
,0.24646953,9.681706,16.99760709
,0.27757734,9.631455,17.02153617
,0.2991135,9.681706,17.03589362
,0.25604117,9.667349,17.09332342
,0.22254045,9.705635,17.04307235
2994647,0.24168372,9.643419,17.01675036
,0.2584341,9.650599,17.02153617
,0.21536173,9.626669,17.02153617
,0.25125536,9.614705,17.02153617
,0.17946811,9.657777,17.01196454
,0.21296883,9.6410265,17.04785816
,0.2392908,9.674527,17.01196454
,0.22493336,9.6410265,17.0598227
2994686,0.22254045,9.655384,17.06700143
,0.208183,9.655384,17.09571633
,0.22254045,9.633848,17.12921704
,0.19382556,9.645813,17.07178725
,0.234505,9.655384,17.02392908
,0.24168372,9.631455,17.03589362
,0.19621846,9.645813,17.07418015
,0.22493336,9.657777,17.02392908
2994724,0.18186101,9.6912775,17.04067944
,0.2368979,9.6003475,17.08135887
,0.18664683,9.638634,17.05503689
,0.20339718,9.574025,17.10050214
,0.19382556,9.605133,17.07418015
,0.19861138,9.626669,17.00957163
,0.24886245,9.650599,17.04307235
,0.18664683,9.607526,17.01914327
2994762,0.23211208,9.605133,17.06460852
,0.2943277,9.674527,17.05264398
,0.24168372,9.643419,17.02153617
,0.21296883,9.655384,17.05742979
,0.28236315,9.626669,17.02392908
,0.234505,9.595561,17.05264398
,0.19143265,9.614705,17.0287149
,0.22971918,9.645813,17.04785816
2994801,0.22732627,9.624276,17.07896597
,0.22254045,9.612311,17.05025107
,0.208183,9.593168,17.04546525
,0.23211208,9.629062,17.0598227
,0.17707519,9.645813,17.11485959
,0.18903974,9.619491,17.12203831
